created_at,full_text,tweet_url,text_clean
Wed Jun 04 21:08:38 +0000 2025,@Hunter_Eagleman @Brinx65 No. If you got LWP you're not a good person. And age dosen't mean anything. We should really stop LWP and push for 3 repeal death penalty.,https://x.com/undefined/status/1930371137684320292,Eagleman  No If you got LWP youre not a good person And age dosent mean anything We should really stop LWP and push for  repeal death penalty
Wed Jun 04 21:08:38 +0000 2025,@madHink @ardisatriawan Protesnya ke 2 2 nya sih lebih tepat. Toh mas dosen jg udah sering protes ke yg bikin aturan juga bukannya ya,https://x.com/undefined/status/1930371136258556034,  Protesnya ke   nya sih lebih tepat Toh mas dosen jg udah sering protes ke yg bikin aturan juga bukannya ya
Wed Jun 04 21:07:21 +0000 2025,Eh gw main nitendo sm temen gw ya kmrn masa pas main tuh ada npc lewat. Npcnya mirip dosen gw bjir,https://x.com/undefined/status/1930370815369064774,Eh gw main nitendo sm temen gw ya kmrn masa pas main tuh ada npc lewat Npcnya mirip dosen gw bjir
Wed Jun 04 21:05:22 +0000 2025,@munvess kalau aku sholat tahajud sih sender. terus minta dimudahkan dan diberi kelembutan hati para dosen.. sama aku sebutin satu satu namanya setiap habis sholat ;D jangan lupa minta ridho dan doa dr orangtua minta dilancarkan gituu. semangatt! kamu pasti bisaa &lt;33,https://x.com/undefined/status/1930370314334343515, kalau aku sholat tahajud sih sender terus minta dimudahkan dan diberi kelembutan hati para dosen sama aku sebutin satu satu namanya setiap habis sholat D jangan lupa minta ridho dan doa dr orangtua minta dilancarkan gituu semangatt kamu pasti bisaa lt
Wed Jun 04 21:00:29 +0000 2025,@MeyerMacht Ach. Wir dosen Tümmler ein? ,https://x.com/undefined/status/1930369085730369708, Ach Wir dosen Tmmler ein 
Wed Jun 04 20:58:02 +0000 2025,@hermosavidanour Jahat sih kalau bentukan dosen begini dan lebih jahat nya lagi pas lagi misuh-misuh ada yang tetep belain dosen UT. Kayak belajar nya nggak bener lah itu lah ini lah. Lol.,https://x.com/undefined/status/1930368470669242879, Jahat sih kalau bentukan dosen begini dan lebih jahat nya lagi pas lagi misuhmisuh ada yang tetep belain dosen UT Kayak belajar nya nggak bener lah itu lah ini lah Lol
Wed Jun 04 20:57:59 +0000 2025,Ada tuh kelas penganti yang dosen nya hobi banget ambil jam 6 pagi dan rata rata orang kalo kelas berikutnya masih lama biasa nya berangkat nya blm mandi.,https://x.com/undefined/status/1930368457482350907,Ada tuh kelas penganti yang dosen nya hobi banget ambil jam  pagi dan rata rata orang kalo kelas berikutnya masih lama biasa nya berangkat nya blm mandi
Wed Jun 04 20:55:36 +0000 2025,@ShazShazzzam @Fightful They should go back to filming it separately like use the ECW arena and bang out a months stuff at a time esp since Tony dosen't do championship changes on taped shows,https://x.com/undefined/status/1930367857658851395,  They should go back to filming it separately like use the ECW arena and bang out a months stuff at a time esp since Tony dosent do championship changes on taped shows
Wed Jun 04 20:53:41 +0000 2025,@Saymynam300 @sbmptnfess Ini bener banget dan coba tanya sama prodinya biasanya dosen dosen dan alumni fk apalagi ini ptn top itu ada dana alumni untuk mahasiswa yg kesulitan keuangan coba cari informasi ini atau coba tanya juga apakah ada dokter senior yg mencari mahasiswa asuh.. Semangat nder,https://x.com/undefined/status/1930367375872012562,  Ini bener banget dan coba tanya sama prodinya biasanya dosen dosen dan alumni fk apalagi ini ptn top itu ada dana alumni untuk mahasiswa yg kesulitan keuangan coba cari informasi ini atau coba tanya juga apakah ada dokter senior yg mencari mahasiswa asuh Semangat nder
Wed Jun 04 20:52:17 +0000 2025,Kalau sampe Kampus AI dimaknai dengan dosen dan tenaga pengajar yang berbentuk AI/Chatbot/LLM bagi saya tolong diingat kembali ya bahwa syarat belajar menurut Ta'lim Muta'allim adalah memiliki guru. Jika kita kurang mengenal guru yang dalam bentuk AI bisa buta nantinya :)),https://x.com/undefined/status/1930367021910532278,Kalau sampe Kampus AI dimaknai dengan dosen dan tenaga pengajar yang berbentuk AIChatbotLLM bagi saya tolong diingat kembali ya bahwa syarat belajar menurut Talim Mutaallim adalah memiliki guru Jika kita kurang mengenal guru yang dalam bentuk AI bisa buta nantinya 
